Date,Share Price,NAV/s,Discount,SP growth,Nav growth,,
31/03/2009,7.59,15.97,52%,20%,20%,,
30/06/2009,10.26,19.19,47%,35%,20%,,
30/09/2009,12.65,22.29,43%,23%,16%,,
30/12/2009,13.58,24.24,44%,7%,9%,,
31/03/2010,12.86,24.57,48%,-5%,1%,,
30/06/2010,13.91,23.35,40%,8%,-5%,,
30/09/2010,17,27.86,39%,22%,19%,,
30/12/2010,24.68,34.95,29%,45%,25%,,
31/03/2011,21.71,37.06,41%,-12%,6%,,
30/06/2011,21.55,36.53,41%,-1%,-1%,,
30/09/2011,14.81,25.17,41%,-31%,-31%,,
30/12/2011,15.55,26.62,42%,5%,6%,,
30/03/2012,18.93,31.3,40%,22%,18%,,
29/06/2012,16.91,29.75,43%,-11%,-5%,,
28/09/2012,19.57,31.12,37%,16%,5%,,
28/12/2012,19,31.75,40%,-3%,2%,,
28/03/2013,21.79,34.78,37%,15%,10%,,
28/06/2013,22.72,35.47,36%,4%,2%,,
30/09/2013,27.73,38.04,27%,22%,7%,,
31/12/2013,28.91,36.77,21%,4%,-3%,,
31/03/2014,32.58,40.99,21%,13%,11%,,
30/06/2014,29.99,37.77,21%,-8%,-8%,,
30/09/2014,30.74,36.93,17%,-6%,-10%,,
31/12/2014,34.04,42.12,19%,4%,3%,,
31/03/2015,42.29,55.04,23%,30%,34%,,
30/06/2015,42.82,53.18,19%,31%,41%,,
30/09/2015,38.98,46.06,15%,20%,25%,,
31/12/2015,42.09,50.9,17%,29%,21%,,
31/03/2016,31.5,45.15,30%,-3%,-18%,,
30/06/2016,32.98,42.98,23%,1%,-19%,,
30/09/2016,36.05,44.84,20%,11%,-3%,,
30/12/2016,40.98,57.64,29%,26%,13%,,
31/03/2017,48.48,57.63,16%,49%,28%,,
30/06/2017,47.39,57.63,18%,45%,34%,,
29/09/2017,53.65,79.48,32%,65%,77%,,
29/12/2017,51.1,79.48,36%,57%,38%,,
29/03/2018,57.72,85.09,32%,77%,48%,,
29/06/2018,57.7,85.09,32%,77%,48%,,
28/09/2018,57.82,71.89,20%,77%,-10%,,
31/12/2018,47.26,71.89,34%,45%,-10%,,
29/03/2019,57.9,88.8,35%,78%,4%,,
28/06/2019,61.6,88.8,31%,89%,4%,,
30/09/2019,61.48,98.6,38%,89%,37%,,
31/12/2019,69.08,98.6,30%,112%,37%,,
31/03/2020,47,79.25,41%,44%,-11%,,
30/06/2020,50.84,79.25,36%,56%,-11%,,
30/09/2020,46.48,102.08,54%,43%,4%,,
31/12/2020,66.22,102.08,35%,103%,4%,,
31/03/2021,71.94,114.89,37%,121%,45%,,
30/06/2021,67.56,114.89,41%,107%,45%,,
30/09/2021,72.92,132.41,45%,124%,30%,,
31/12/2021,78.96,132.41,40%,142%,30%,,
31/03/2022,69.5,109.41,36%,113%,-5%,,
30/06/2022,59.48,109.41,46%,83%,-5%,,
30/09/2022,65.48,122.34,46%,101%,-8%,,
30/12/2022,68.3,122.34,44%,110%,-8%,,
31/03/2023,75.84,150.21,50%,133%,37%,,
30/06/2023,81.68,150.21,46%,151%,37%,,
29/09/2023,83.94,162.36,48%,158%,33%,,
29/12/2023,90.5,162.36,44%,178%,33%,,
28/03/2024,103.05,178.46,42%,216%,19%,,
28/06/2024,97.7,178.46,45%,200%,19%,,
30/09/2024,96.15,178.78,46%,195%,10%,,
31/12/2024,88.55,178.78,50%,172%,10%,,
30/06/2025,84.80,180.42,53%,160%,1%,,
23/01/2026,70.5,160.39,56%,135%,-10%,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
